aah	a cry of delight
loveliness	the quality of being beautiful
lovelorn	sad from unrequited love
lovemaking	sexual intimacy between partners
lover	a romantic partner
lovesick	longing painfully for love
lovingly	in a caring, affectionate way
lowball	to offer less than deserved
lowbrow	simple and unsophisticated
lowercase	small letters, not capital
lowered	brought down in level
lowering	darkening and threatening
lowland	relating to flat low ground
lowlife	a disreputable person
lowly	humble in rank or status
lox	smoked salmon
loyal	faithful and devoted
loyalist	a person who stays faithful
loyally	in a faithful, devoted way
loyalty	faithful devotion to someone
lozenge	a small medicated candy
luau	a hawaiian feast celebration
lube	a slippery substance for machinery
lubricant	a substance reducing friction
lubricate	to oil for less friction
lubricated	coated with oil
lubrication	the process of applying oil
lucent	shining brightly
lucerne	a clover-like forage plant
lucid	clear and easy to understand
lucidity	clarity of thought
lucifer	the devil, satan
luckily	fortunately
luckless	unlucky and unfortunate
lucrative	very profitable
lucre	money, especially ill-gotten
ludicrous	absurd and ridiculous
ludicrously	in an absurd, ridiculous way
ludo	a simple board game
luff	a sail's forward edge
lug	a projecting handle or part
luge	a small racing sled
luger	a luge rider
luggage	bags for traveling
lugubrious	gloomy and mournful
lukewarm	slightly warm, not hot
lull	a temporary period of calm
lullaby	a soothing song for babies
lulu	a remarkable example of something
lulz	amusement from mocking others
lumbar	relating to the lower back
lumber	rough cut wood for building
lumbering	moving heavily and clumsily
lumberjack	a tree-cutting worker
lumberyard	a place selling cut wood
lumen	a unit of light brightness
luminance	the brightness of light
luminary	a famous inspiring person
luminescence	a soft glow without heat
luminescent	glowing softly without heat
luminosity	the brightness of light
luminous	glowing with light
lump	a solid shapeless mass
lumpy	full of small lumps
lunacy	foolish or crazy behavior
lunar	relating to the moon
lunatic	a foolish or crazy person
luncheon	a formal midday meal
lunching	eating a midday meal
lunchroom	a room for eating meals
lunchtime	the time for midday eating
lung	an organ used for breathing
lunge	a sudden forward movement
lupin	a tall flowering plant
lupine	relating to wolves
lupus	an autoimmune disease
lurch	a sudden unsteady movement
lure	something that tempts or attracts
lurid	shockingly vivid or sensational
lurk	to wait hidden and watchful
lurker	a person who watches unseen
luscious	deliciously rich and sweet
lush	green and abundant with plants
lust	a strong desire, often sexual
luster	a soft glow or shine
lustful	full of strong sexual desire
lustre	a soft glow or shine
lustrous	shining softly
lusty	full of energy and vigor
lute	a stringed musical instrument
luthier	a maker of stringed instruments
lux	a unit of light brightness
luxe	luxurious and expensive
luxuriant	lush and abundant
luxuriate	to enjoy something fully
luxurious	extremely comfortable and expensive
luxuriously	in a lavish, comfortable way
lxi	the number sixty-one
lxx	the number seventy
lyceum	a hall for lectures
lychee	a small sweet fruit
lycopene	a red plant pigment
lye	a strong caustic substance
lymph	a clear bodily fluid
lymphatic	relating to the lymph system
lymphedema	swelling from fluid buildup
lymphocyte	a white blood cell type
lymphocytic	relating to white blood cells
lymphoid	relating to the lymph system
lymphoma	a lymph system cancer
lynch	to kill without a trial
lynching	an unlawful mob killing
lynchpin	an essential connecting element
lynx	a tufted-eared wildcat
lyre	an ancient stringed instrument
lyric	expressing personal emotion
lyrical	expressing personal feeling
lyrically	in an emotionally expressive way
lyricism	an expressive emotional quality
lyricist	a writer of song words
lysine	an essential amino acid
lysis	a cell breaking apart
maar	a shallow volcanic crater
macabre	disturbing and death-related
macadam	crushed stone for roads
macadamia	a rich round edible nut
macaque	a type of monkey
macaron	a sweet meringue sandwich cookie
macaroni	small tube-shaped pasta
macaroon	a small coconut cookie
macaw	a large colorful parrot
mace	a spice from nutmeg shells
machete	a large heavy knife
machinery	large mechanical equipment
machinist	a machine-tool operator
machismo	strong exaggerated masculinity
macho	aggressively masculine
macintosh	a waterproof raincoat
mack	a raincoat
mackerel	an oily edible fish
mackinaw	a heavy wool jacket
mackintosh	a waterproof raincoat
macon	cured pork, like bacon
macrame	knotted cord decorative work
macro	very large in scale
macroeconomic	relating to a whole economy
macroeconomics	the study of whole economies
macromolecular	relating to very large molecules
macron	a mark over a letter
macrophage	a cell that eats germs
macroscopic	visible to the naked eye
macula	a spot on the retina
madam	a polite title for a woman
madame	a polite title for a woman
madcap	wildly reckless and fun
madden	to make very angry
maddening	extremely irritating
madder	a red-dye plant
mademoiselle	an unmarried french woman
madhouse	a chaotic noisy place
madly	in a wild, frenzied way
madman	a crazy or violent man
madness	extreme foolish or crazy behavior
madras	a light cotton plaid fabric
madrasa	an islamic religious school
madrigal	a short vocal song
madwoman	a crazy or violent woman
maelstrom	a violent chaotic situation
maestro	a skilled music conductor
mafia	an organized crime group
mafioso	a member of the mafia
mag	a magazine
magdalen	a reformed prostitute
magenta	a bright purplish-pink color
maggot	a fly larva
magical	full of enchanting wonder
magically	as if by magic
magician	a performer of magic tricks
magisterial	authoritative and commanding
magistracy	the office of a judge
magistrate	a local court judge
maglev	a magnetically levitated train
magma	molten rock underground
magnanimity	generous forgiving nobility
magnanimous	generous and forgiving
magnate	a powerful wealthy businessperson
magnesia	a white mineral compound
magnesium	a light metallic element
magnet	an object that attracts metal
magnetic	having magnet-like attracting power
magnetically	by means of magnetism
magnetics	the study of magnetism
magnetism	magnetic attraction force
magnetite	a magnetic iron mineral
magnetization	the process of becoming magnetic
magnetized	made magnetic
magneto	a small electric generator
magnetometer	a device measuring magnetic fields
magnetosphere	a planet's magnetic field region
magnetron	a device generating microwaves
magnification	the enlarging of an image
magnificence	great and impressive beauty
magnificent	extremely impressive and beautiful
magnificently	in a splendid, impressive way
magnified	made to look larger
magnifier	a lens that enlarges images
magnify	to make something appear larger
magnitude	the great size of something
magnolia	a tree with large flowers
magnum	a large wine bottle
magpie	a black-and-white chattering bird
magus	an ancient wise sorcerer
maharaja	an indian prince or ruler
maharajah	an indian prince or ruler
mahatma	a revered wise indian leader
mahjong	a tile-based table game
mahogany	a reddish-brown hardwood
maid	a female household servant
maiden	first of its kind
maidenhead	virginity
maidservant	a female household servant
mailbag	a bag for carrying mail
mailbox	a box for receiving mail
mailed	sent through the postal system
mailer	a mail-sending person
mailing	a batch of sent letters
maillot	a one-piece swimsuit
mailman	a person who delivers mail
maim	to injure severely and permanently
maimed	seriously and permanently injured
mainframe	a large powerful computer
mainland	a country's main part
mainline	to inject a drug directly
mainsail	a ship's largest sail
mainstay	an essential supporting part
mainstream	the widely accepted normal trend
maintainable	easy to keep working
maintainer	one who keeps things running
maize	corn
majestic	grand and impressive
majestically	in a grand, impressive way
majesty	grand and dignified beauty
majolica	decorated glazed pottery
majors	a sport's top level
makeover	a complete appearance transformation
maker	a person who creates something
makeshift	temporary and improvised
mako	a fast ocean shark
malabsorption	poor nutrient absorption
malacca	a cane-making material
malachite	a green copper mineral
maladaptive	unhelpful and poorly suited
maladjusted	unable to cope normally
malady	an illness or disease
malaise	a general feeling of unease
malar	relating to the cheekbone
malaria	a mosquito-borne fever disease
malarial	relating to malaria
malarkey	nonsense talk
malcontent	discontented and rebellious
maleficent	causing harm or evil
maleness	the quality of being male
malevolence	a wish to cause harm
malevolent	wishing to cause harm
malfeasance	wrongdoing by an official
malformation	an abnormal bodily shape
malformed	abnormally or badly shaped
malfunction	a failure to work properly
malfunctioning	not working properly
malice	a desire to harm others
malicious	intending to cause harm
maliciously	with intent to cause harm
malign	harmful or evil
malignancy	a cancerous growth
malignant	harmful and cancerous
malik	an arabic word for king
mall	a large shopping building
mallard	a common wild duck
malleability	ease of being shaped
malleable	easily shaped or influenced
mallee	a small multi-stemmed eucalyptus tree
mallet	a wooden hammer
mallow	a soft-leaved flower
malnourished	lacking proper nutrition
malnourishment	a lack of proper nutrition
malnutrition	poor diet causing bad health
malpractice	careless or wrong professional conduct
malt	sprouted grain used in brewing
malted	made with sprouted grain flavor
maltose	a sugar made from starch
maltreatment	cruel or abusive treatment
malware	software made to harm computers
mama	mother
mamba	a fast poisonous snake
mambo	a lively latin dance
mamma	mother
mammal	a milk-feeding animal
mammalian	relating to milk-feeding animals
mammary	relating to milk-producing glands
mammogram	a breast x-ray image
mammography	x-ray screening of the breast
mammon	wealth valued as an idol
mammoth	huge in size
mammy	mother
mamo	a hawaiian honeycreeper bird
manageable	easy to control or handle
managerial	relating to running a business
manana	an uncertain future time
manatee	a large slow water mammal
mandala	a circular spiritual symbol
mandamus	a court duty order
mandarin	a small sweet citrus fruit
mandate	an official order or instruction
mandatory	required by rule or law
mandible	the jaw bone
mandibular	relating to the jaw
mandolin	a small stringed musical instrument
mandrake	a forked-root plant
mandrel	a shaft holding work
mane	long neck hair
maneuver	a planned skillful movement
maneuverability	ease of moving and steering
maneuverable	easy to steer or move
manfully	bravely and with determination
manga	japanese comic book art
manganese	a hard gray metal element
mange	a skin disease in animals
manger	a feeding trough for animals
mangle	a machine for pressing laundry
mangled	badly crushed or damaged
mango	a sweet tropical fruit
mangold	a cattle-feed beet
mangrove	a tropical coastal tree
mangy	shabby and diseased looking
manhandle	to handle roughly
manhattan	a mixed alcoholic cocktail
manhole	a covered underground opening
manhood	adult male status
manhunt	an organized person search
mania	extreme excitement or obsession
maniac	wildly crazy or violent
maniacal	wildly and dangerously crazy
maniacally	in a wildly crazy way
manic	overly excited or frantic
manicure	a cosmetic treatment for nails
manifest	clearly visible or obvious
manifestation	a visible sign of something
manifestly	clearly and obviously
manifesto	a public statement of beliefs
manifold	many and varied
manila	strong brown paper or rope
manilla	strong brown paper or rope
manioc	a starchy root vegetable
manipulate	to control skillfully or unfairly
manipulation	unfair skillful control
manipulative	controlling others unfairly
manipulator	one who controls others unfairly
mankind	the human race
manliness	the quality of being manly
manly	brave like a man
manna	unexpected help or food
manned	operated by a person
mannequin	a clothes-display figure
mannered	showing artificial or stylized behavior
mannerism	a habitual gesture
manners	polite social behavior
mannish	resembling a man in style
mannitol	a sugar alcohol sweetener
manoeuvrability	ease of moving and steering
manoeuvre	a planned skillful movement
manor	a large country estate
manorial	relating to a country estate
manpower	available workers or labor
manse	a minister's house
manservant	a male household servant
mansion	a very large house
manslaughter	unintended unlawful killing
manta	a large flat ocean ray
mantel	a shelf above a fireplace
mantelpiece	a shelf above a fireplace
manticore	a mythical lion-human monster
mantis	a folded-leg insect
mantle	a loose cloak
mantra	a repeated meditation phrase
mantua	an old-fashioned loose gown
manually	done by hand
manufactory	a factory that makes goods
manufacture	bulk goods making
manufactured	made in a factory
manufacturer	a company that makes goods
manure	animal waste used as fertilizer
manus	the hand or forepaw
manuscript	a handwritten or original document
manzanita	a small evergreen shrub
maple	a tree with winged seeds
mapper	something that creates maps
mapping	map-making process
mar	a body of water or lake
mara	a large south american rodent
maraschino	a sweet preserved cherry
marathon	a long-distance running race
marathoner	a person who runs marathons
marauder	a raiding attacker
marauding	roaming to raid and plunder
marble	a hard decorative stone
marbled	streaked like marble stone
marbles	small glass game balls
marbling	streaked marble-like pattern
marc	leftover grape residue after pressing
marcel	a wave set in hair
marching	group step walking
marchioness	the wife of a marquess
mare	a female horse
margarine	an oil butter substitute
margarita	a tequila cocktail with lime
margate	a seaside town in england
marge	the edge or border
margin	an edge or border
marginal	minor or barely significant
marginalia	notes in a book's margin
marginalisation	pushing a group aside
marginalization	pushing a group aside
marginalize	to push to the edges
marginally	only slightly
margrave	a medieval german nobleman
marguerite	a daisy-like flower
mariachi	traditional mexican street music
marigold	an orange garden flower
marihuana	a mind-altering plant drug
marijuana	a mind-altering plant drug
marimba	a wooden xylophone-like instrument
marina	a harbor for small boats
marinade	a food-soaking liquid
marinara	a tomato-based pasta sauce
marinate	to soak in flavored liquid
mariner	a sailor
marionette	a puppet moved by strings
mariposa	a type of wild lily
marital	relating to marriage
maritime	relating to the sea
marjoram	an aromatic cooking herb
markedly	noticeably or clearly
marker	a felt-tip pen
marketable	able to be sold easily
marketer	a person who promotes products
marketplace	a goods-trading place
marking	a distinctive mark or pattern
marksman	a person skilled at shooting
marksmanship	skill in shooting accurately
markup	an added charge above cost
marl	a clay-lime soil
marlin	a large ocean game fish
marly	containing clay and lime soil
marmalade	a citrus fruit preserve
marmite	a salty yeast-based spread
marmoset	a small tropical monkey
marmot	a large burrowing rodent
maroon	a dark brownish red color
marooned	stranded in an isolated place
marque	a brand of vehicle
marquee	a large entrance tent
marquess	a noble below a duke
marquetry	decorative inlaid woodwork
marquis	a noble below a duke
marquise	the wife of a marquis
marred	spoiled or damaged
marri	an australian eucalyptus tree
marriageable	suited to marry
marrow	the soft tissue inside bones
marseille	a port city in france
marsh	a low wet grassy land
marshal	an officer who enforces order
marshall	an officer who enforces order
marshland	low wet grassy land
marshmallow	a soft sweet white confection
marshy	wet and swampy
marsupial	a pouch-carrying mammal
mart	a market or store
marten	a small forest-dwelling mammal
martial	relating to war
martinet	a very strict disciplinarian
martingale	a horse head strap
martini	a gin and vermouth cocktail
martyr	one who dies for beliefs
martyrdom	death for a belief
marvel	something causing wonder
marvellous	wonderful and amazing
marvellously	in a wonderful amazing way
marvelous	wonderful and amazing
marvelously	in a wonderful amazing way
marzipan	a sweet almond paste
mascara	makeup for darkening eyelashes
mascarpone	a soft italian cream cheese
mascot	a luck-bringing symbol
masculine	having qualities typical of men
masculinity	qualities typical of manliness
maser	a device producing microwave radiation
mash	crushed soft food mixture
masher	a tool for crushing food
masjid	a muslim place of worship
masked	hidden or covered
masking	covering or hiding something
masochism	pleasure from one's own pain
masochist	one who enjoys own pain
masochistic	enjoying one's own pain
mason	a stone builder
masonic	relating to freemasons
masonry	stonework or brickwork construction
masque	a costumed theatrical entertainment
masquerade	a disguised pretense
massacre	brutal mass killing
massage	rubbing muscles to relax them
massager	a device for rubbing muscles
masse	a special billiard shot
masses	large crowds of ordinary people
masseur	a man who gives massages
masseuse	a woman who gives massages
massif	a compact group of mountains
massively	to a very large degree
mast	a ship's tall pole
mastectomy	surgical removal of a breast
masted	fitted with a tall pole
mastered	fully learned or controlled
masterful	highly skilled and confident
masterfully	with great skill and confidence
mastering	the process of perfecting skill
masterly	showing great skill
mastermind	a clever planner
masterpiece	an outstanding work of art
masterstroke	a brilliantly clever action
mastery	complete skill or control
masthead	a newspaper's title heading
mastic	a sticky resin or sealant
mastiff	a large powerful dog breed
mastitis	inflammation of the breast
mastodon	an extinct elephant-like animal
masturbate	to stimulate one's own genitals
masturbation	self-stimulation for sexual pleasure
masturbator	one who masturbates
mat	dull and not shiny
matador	a bullfighter
matai	a samoan family chief
matchbook	a small match folder
matchbox	a small box for matches
matched	paired or made similar
matching	corresponding or paired
matchless	without equal
matchmaker	a romance arranger
matchmaking	arranging romantic pairings
matchstick	a thin wooden match
matchup	a contest between opponents
mated	paired with a partner
mater	mother
materialise	to become real or appear
materialism	valuing possessions over other things
materialist	one who values possessions
materialistic	overly focused on possessions
materiality	importance or relevance of something
materialize	to become real or appear
materially	in a significant way
materiel	military equipment and supplies
maternal	relating to being a mother
maternity	the state of being pregnant
mates	friends or companions
matey	friendly and informal
mathematical	relating to numbers and math
mathematically	using numbers and math
mathematician	an expert in mathematics
mathematics	study of numbers and shapes
maths	study of numbers and shapes
matinee	an afternoon performance
mating	the act of animals reproducing
matins	morning prayers in church
matriarch	a family-leading woman
matriarchal	led by a mother
matriarchy	a society ruled by women
matric	a school qualifying exam
matriculation	official enrollment at a college
matrilineal	traced through the mother's line
matrimonial	relating to marriage
matrimony	the state of marriage
matrix	a grid-like structured arrangement
matron	a senior woman in charge
matte	dull and not shiny
matted	tangled into a thick mass
matting	woven material used as flooring
mattress	a padded sleeping surface
maturation	growing to full development
mature	fully grown and developed
matured	fully developed over time
maturely	in a grown-up sensible way
maturity	being fully grown
matzo	a flat unleavened cracker bread
maudlin	overly sentimental and tearful
maul	to injure by rough handling
mausoleum	a large tomb building
mauve	a pale purple color
maven	an expert on a subject
maverick	independent and unconventional
mavis	a type of songbird
maw	an animal's mouth or stomach
maxi	very large in size
maxilla	the upper jaw bone
maxillary	relating to the upper jaw
maxillofacial	relating to jaw and face
maxim	a short wise saying
maximal	the greatest possible
maximally	to the greatest possible degree
maximise	to increase greatly
maximising	increasing to the greatest extent
maximization	increasing to the greatest extent
maximize	to increase greatly
maximizing	increasing to the greatest extent
maxwell	a unit of magnetic flux
mayflower	an early spring blossoming plant
mayfly	a short-lived flying insect
mayhem	wild disorder and chaos
mayo	a creamy egg-based condiment
mayonnaise	a creamy egg-based condiment
mayoral	relating to a mayor
mayoralty	the office of mayor
maypole	a pole for dancing celebrations
maze	a confusing network of paths
mcg	a tiny weight unit
mead	a wine made from honey
meadow	a grassy wildflower field
meadowlark	a songbird of open fields
meager	small in amount
meagre	small in amount
mealtime	a time for eating
mealy	dry and powdery like flour
meander	a winding path or curve
meandering	wandering slowly and indirectly
meanie	an unkind person
meaningful	full of purpose or significance
meaningfully	in a purposeful way
meaningfulness	the quality of having purpose
meaningless	without purpose or significance
meaninglessness	having no purpose
meanness	unkind or petty behavior
meantime	the time between two events
meany	an unkind person
measles	a contagious viral rash disease
measly	pitifully small
measurable	able to be measured
measurably	to a measurable degree
measured	carefully calculated or controlled
measurement	a size or amount
measuring	finding the size of something
meatball	a ground-meat ball
meatless	made without meat
meatloaf	a baked ground-meat dish
meatpacking	processing meat for sale
meaty	full of meat or substance
mecca	a much-visited place
mechanic	a person who repairs machines
mechanically	in an automatic machine-like way
mechanics	science of motion and machines
mechanisation	using machines for work
mechanised	converted to use machines
mechanism	a working system part
mechanistic	viewing things as machine-like
mechanization	using machines for work
mechanized	converted to use machines
medalist	a medal winner
medallion	a round decorative pendant
medallist	a medal winner
meddle	to interfere in others' affairs
meddlesome	fond of interfering
meddling	interfering in others' affairs
medevac	emergency evacuation of the injured
mediaeval	relating to the middle ages
medial	located in the middle
medially	toward the middle
median	located in the exact middle
mediate	to help settle a dispute
mediated	settled through a go-between
mediation	settling a dispute
mediator	a dispute settler
medic	a medical care worker
medically	in a medicine-related way
medicate	to treat with drugs
medication	an illness-treating drug
medicinal	having healing properties
medicinally	in a healing way
medico	a doctor
medieval	from the middle ages
medina	an old walled city part
mediocre	only average in quality
mediocrity	being only average
meditate	to think calmly and deeply
meditation	calm, focused deep thought
meditative	quiet and thoughtful
medley	a mixture of different things
medulla	inner part of an organ
medullary	relating to the inner core
medusa	a jellyfish
meek	gentle and easily pushed around
meekly	in a gentle, submissive way
meekness	gentle, submissive nature
meerkat	a small burrowing african animal
meg	a million units
megabyte	a unit of computer memory
megahertz	a unit of frequency
megalithic	made of huge ancient stones
megalomania	a delusion of great power
megalomaniac	someone obsessed with power
megalopolis	a huge sprawling city
megaphone	a voice-amplifying device
megaton	a unit of explosive power
megawatt	a unit of electric power
mei	a plum blossom
meiosis	cell division making sex cells
meiotic	relating to reproductive cell division
melamine	a hard plastic material
melancholia	deep sadness
melancholic	sad and gloomy
melancholy	sad and gloomy
melange	a mixture of things
melanin	dark skin pigment
melanoma	a dangerous skin cancer
melatonin	a sleep-regulating hormone
meld	a blending together
melee	a chaotic close-up fight
mellifluous	sweet and smooth sounding
mellow	relaxed and calm
mellowed	became calmer over time
melodic	pleasant and tuneful
melodically	in a tuneful way
melodious	pleasant sounding
melodrama	an overly emotional story
melodramatic	overly emotional and exaggerated
melody	a tune
melon	a large sweet fruit
melt	melted cheese dish
meltdown	a serious breakdown or collapse
melted	turned from solid to liquid
melting	turning from solid to liquid
meltwater	melted snow water
mem	a unit of memory
membered	having certain parts
membrane	a thin flexible layer
membranous	like a thin flexible layer
meme	a shared joke image online
memento	a keepsake reminder
memo	a short written note
memoir	a life-story book
memorabilia	items kept for their memories
memorable	easy to remember
memorably	in a way worth remembering
memoranda	short official notes
memorandum	a short official note
memorialize	to honor in remembrance
memorise	to learn by heart
memorization	learning something by heart
memorize	to learn by heart
menace	a threat or danger
menacing	threatening and frightening
menacingly	in a threatening way
menage	a household
menagerie	a collection of wild animals
mend	a repaired spot
mendacious	dishonest and lying
mendacity	the habit of lying
mendicant	living by begging
mending	the act of repairing
menial	low-skilled and boring
meningitis	inflammation of brain membranes
meniscus	curved surface of a liquid
menopausal	relating to menstruation's end
menopause	the end of menstrual cycles
menorah	a jewish candle holder
mensch	a decent, honorable person
menses	monthly menstrual bleeding
menstrual	relating to monthly bleeding
menstruation	monthly bleeding in women
mentality	a particular way of thinking
mentally	in the mind
mentee	one guided by a mentor
menthol	a minty cooling substance
mentor	a trusted guide or advisor
menu	a list of food choices
meow	the sound a cat makes
mercantile	relating to trade or commerce
mercantilism	a trade-based economic system
mercenary	motivated only by money
mercer	a dealer in fine cloth
merchandise	goods for sale
merchandiser	someone who sells goods
merchandising	promoting goods for sale
merchant	a person who sells goods
merciful	showing kindness instead of punishment
mercifully	fortunately and kindly
merciless	without pity
mercilessly	without any pity
mercurial	changing mood quickly
mercury	a liquid metal element
mercy	kindness instead of punishment
mere	nothing more than
merge	to combine into one
merged	combined into one
merger	a joining of two companies
merging	combining into one
merica	a nickname for america
meridian	relating to noon or a map line
meringue	a sweet baked egg-white topping
merino	a fine-wool sheep
merit	a good quality deserving praise
merited	deserved
meritocracy	rule by the most able
meritocratic	based on ability and effort
meritorious	deserving praise
merle	a mottled coat coloring
merlin	a small falcon
mermaid	a mythical fish-tailed woman
merman	a mythical fish-tailed man
merrily	in a cheerful way
merriment	cheerful fun
merry	cheerful and happy
mesa	a flat-topped hill
mescaline	a hallucinogenic drug
mesenteric	relating to gut supporting tissue
mesh	a woven net-like material
meshed	fitted together closely
meshing	fitting together closely
mesmeric	completely captivating
mesmerised	completely fascinated
mesmerized	completely fascinated
mesmerizing	completely captivating
mesoderm	a middle embryo layer
mesolithic	relating to the middle stone age
meson	a subatomic particle
mesothelioma	a cancer from asbestos exposure
mesquite	a thorny desert tree
messaging	sending written communication
messenger	someone who carries messages
messiah	a expected savior figure
messianic	relating to a savior figure
messiness	the state of being untidy
messy	untidy and disordered
mestizo	a person of mixed ancestry
metabolic	relating to body chemistry
metabolically	in terms of body chemistry
metabolism	the body's chemical processes
metabolite	a substance from body chemistry
metabolize	to break down chemically
metacarpal	relating to the hand bones
metadata	data describing other data
metallic	made of or like metal
metallurgical	relating to metal science
metallurgist	an expert in metals
metallurgy	the science of metals
metalwork	objects made from metal
metalworking	the craft of shaping metal
metamorphic	changed by heat and pressure
metamorphism	rock change by heat
metamorphosis	a complete change in form
metaphor	a comparing figure of speech
metaphoric	using a figure of speech
metaphorical	used figuratively
metaphorically	in a figurative way
metaphysical	beyond the physical world
metaphysically	beyond the physical
metaphysics	the study of reality's nature
metastable	only briefly stable
metastasis	disease spread to new areas
metastasize	to spread to new areas
metastatic	relating to disease spread
metatarsal	relating to the foot bones
mete	an allotted portion
meteor	a falling-rock light streak
meteoric	extremely fast and impressive
meteorite	a space rock that lands
meteorological	relating to weather
meteorologist	a weather scientist
meteorology	the study of weather
meter	a measuring device
metformin	a diabetes medication
meth	an illegal stimulant drug
methadone	an addiction-treating drug
methamphetamine	a strong illegal stimulant
methane	a flammable gas
methanol	a toxic fuel alcohol
methicillin	an antibiotic drug
methionine	an essential amino acid
methodical	careful and systematic
methodically	in a careful, systematic way
methodological	relating to methods
methodologically	in terms of methods used
methodology	a system of methods
methotrexate	a cancer and arthritis drug
methyl	a chemical group in compounds
methylated	treated with a chemical additive
methylene	a chemical compound unit
methylphenidate	a stimulant medication
meticulous	extremely careful and precise
meticulously	with great care and precision
metre	a unit of length
metric	relating to measurement
metrical	relating to poetic rhythm
metrics	measurements of performance
metro	a city subway system
metrology	the science of measurement
metronidazole	an antibiotic medication
metronome	a musical-time keeper
metropolis	a large important city
metropolitan	relating to a large city
metrosexual	a stylish, grooming-focused man
mettle	strength of character
mew	a soft cat-like cry
mews	converted stable houses
mezcal	a mexican agave spirit
mezzanine	a low in-between floor
mezzo	a middle range singing voice
miasma	an unpleasant, unhealthy atmosphere
mic	a microphone
mica	a sheet-splitting mineral
mickle	a large amount
micro	extremely small
microbe	a tiny living organism
microbial	relating to tiny organisms
microbiologist	a scientist who studies microbes
microbiology	the study of tiny organisms
microbrewery	a small beer-making company
microcephaly	an unusually small head
microchip	a tiny electronic circuit
microcomputer	a small personal computer
microcosm	a small version of something
microeconomic	relating to individual economic choices
microeconomics	study of individual economic behavior
microelectronic	relating to tiny electronic parts
microelectronics	study of tiny electronics
microfiche	tiny photographed pages
microfilm	film with tiny photographed pages
microglia	tiny brain support cells
micrometer	a tiny-distance measurer
micron	a tiny length unit
micronutrient	an essential trace nutrient
microorganism	a tiny living organism
microphone	a sound-picking device
microprocessor	a computer's main processing chip
microscope	a tiny-thing viewer
microscopic	too small to see
microscopically	in extremely tiny detail
microscopy	the use of microscopes
microsecond	one millionth of a second
microsurgery	surgery on very small structures
microtubule	a tiny cell support structure
microwave	a radiation-heating oven
midair	the space above the ground
midazolam	a sedative drug
midbrain	the brain's middle part
midday	noon
midden	a pile of ancient waste
middleman	a buyer-seller connector
middleweight	a mid-range boxing weight class
middling	average, neither good nor bad
midfield	a sports field's center
midge	a tiny biting insect
midget	unusually small in size
midi	medium length
midland	relating to a country's interior
midline	the body's center line
midpoint	the exact middle
midrib	a leaf's central vein
midriff	the torso's middle part
midsection	the middle part
midshipman	a naval officer trainee
midst	the middle of something
midstream	the middle of a process
midsummer	the middle of summer
midterm	an exam given mid-course
midway	halfway between two points
midweek	the middle of the week
midwestern	relating to central usa
midwife	someone who helps deliver babies
midwifery	the practice of assisting childbirth
midwinter	the middle of winter
mien	a person's manner or bearing
miffed	slightly annoyed
mightily	with great strength or effort
mighty	very powerful
migraine	a severe throbbing headache
migrant	moving for work or conditions
migrate	to move to another place
migration	movement to another place
migratory	regularly moving between places
mikado	a japanese emperor
mil	a small unit of measurement
milch	kept for producing milk
mild	gentle and not extreme
mildew	a damp-growing fungus
mildly	in a gentle, slight way
mileage	distance traveled in miles
milepost	a marker showing distance
miler	a mile racer
milestone	an important stage in progress
milieu	a person's surroundings or environment
militancy	aggressive or combative behavior
militant	aggressively active for a cause
militarily	in a military way
militarism	belief in a strong military
militarist	someone who supports military strength
militaristic	favoring military strength
militarization	the buildup of military forces
militarized	equipped with military forces
militia	a group of citizen soldiers
milkmaid	a woman who milks cows
milkman	someone who delivers milk
milkshake	a blended cold milk drink
milkweed	a plant with milky sap
milky	pale white like milk
milled	ground in a mill
millennial	born around 1980s-90s
millennium	a thousand-year period
millet	a small grain crop
milligram	a tiny unit of weight
milliliter	a small liquid unit
millimeter	a tiny unit of length
millimetre	a tiny unit of length
milliner	someone who makes hats
millinery	the making of women's hats
milling	grinding grain or material
millionaire	one with a million dollars
millionth	one part in a million
millisecond	one thousandth of a second
millstone	a heavy grinding stone
millwork	factory-made wood fittings
millwright	someone who builds mills
milo	a type of grain sorghum
milord	a respectful lord's title
milt	fish sperm
mime	acting without words
mimesis	imitation of reality in art
mimetic	imitating something else
mimic	imitating another
mimicry	the act of imitating something
mimosa	a flowering tree or shrub
mina	an ancient unit of weight
minaret	a tall mosque tower
mince	finely chopped meat
mincemeat	a sweet chopped fruit filling
mincing	walking with small, dainty steps
minded	having a certain attitude
minder	someone who looks after another
mindfuck	a shocking, confusing experience
mindful	aware and attentive
mindfully	with careful awareness
mindfulness	calm awareness of the present
mindless	done without thought
mindlessly	without any thought
mindset	a person's usual attitude
mined	dug out of the ground
minefield	an area planted with explosives
miner	someone who digs for minerals
mineral	relating to natural rock substances
mineralogist	a scientist who studies minerals
mineralogy	the study of minerals
mineshaft	a vertical mine passage
minesweeper	a sea mine-clearing ship
mingle	to mix socially with others
mingling	mixing socially with others
miniature	very small in size
miniaturization	making something much smaller
minibar	a small hotel drink fridge
minibus	a small bus
minicab	a small taxi
minimal	as small as possible
minimalism	a style using very little
minimalist	using very little decoration
minimally	to the smallest degree
minimisation	reducing to the least
minimise	to reduce greatly
minimization	reducing to the least
minimize	to reduce greatly
minimized	reduced to the least amount
minimus	the smallest finger or toe
minion	a loyal follower or servant
miniscule	extremely small
miniskirt	a very short skirt
ministerial	relating to government officials
minivan	a small family van
